DEBUG 2024-11-29 20:08:14,191 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\core\cache\backends\base.py first seen with mtime 1732886804.7267017
DEBUG 2024-11-29 20:08:14,193 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1732886804.7153556
DEBUG 2024-11-29 20:08:14,194 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\db\models\constants.py first seen with mtime 1732886804.873198
DEBUG 2024-11-29 20:08:14,195 autoreload File C:\Program Files\Python310\DLLs\_ctypes.pyd first seen with mtime 1633399960.0
DEBUG 2024-11-29 20:08:14,195 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\contrib\admin\views\decorators.py first seen with mtime 1732886801.6132102
DEBUG 2024-11-29 20:08:14,197 autoreload File C:\Program Files\Python310\Lib\gzip.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,197 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\rest_framework\utils\formatting.py first seen with mtime 1732888345.2342165
DEBUG 2024-11-29 20:08:14,198 autoreload File C:\Program Files\Python310\Lib\io.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,198 autoreload File C:\Program Files\Python310\Lib\functools.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,199 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1732886799.640072
DEBUG 2024-11-29 20:08:14,199 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\core\management\color.py first seen with mtime 1732886804.7765977
DEBUG 2024-11-29 20:08:14,199 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\views\defaults.py first seen with mtime 1732886805.0970726
DEBUG 2024-11-29 20:08:14,200 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1732886800.739483
DEBUG 2024-11-29 20:08:14,201 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\redis\asyncio\client.py first seen with mtime 1732888969.9960976
DEBUG 2024-11-29 20:08:14,202 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1732886804.7122686
DEBUG 2024-11-29 20:08:14,203 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1732886804.8934522
DEBUG 2024-11-29 20:08:14,203 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\urls\base.py first seen with mtime 1732886805.0379553
DEBUG 2024-11-29 20:08:14,204 autoreload File C:\Program Files\Python310\Lib\site.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,205 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\contrib\auth\signals.py first seen with mtime 1732886801.8906293
DEBUG 2024-11-29 20:08:14,205 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\rest_framework\parsers.py first seen with mtime 1732888345.0017993
DEBUG 2024-11-29 20:08:14,206 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\utils\decorators.py first seen with mtime 1732886805.0702782
DEBUG 2024-11-29 20:08:14,206 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\utils\_os.py first seen with mtime 1732886805.0462725
DEBUG 2024-11-29 20:08:14,207 autoreload File C:\Program Files\Python310\Lib\importlib\__init__.py first seen with mtime 1633399924.0
DEBUG 2024-11-29 20:08:14,208 autoreload File C:\Users\KENL158\Downloads\django-api\venv\Lib\site-packages\django\contrib\contenttypes\forms.py first seen with mtime 1732886802.2353344
